	title	category
423	Høyskolen Kristiana kjøper omstridt privatskole	osloby
424	Er det noen grunn til å tro at menn som har sex med menn er mindre troverdige og ærlige enn andre? | Jon Ole Whist	meninger
425	Glittershow og paljetter for utsolgte hus på Rockefeller	osloby
426	New York Times: Trump velger Exxon Mobil-sjef som utenriksminister	verden
427	Kronikk: Selvfiksjonen - et litterært endetidsfenomen? Frode Helmich Pedersen	meninger
428	Nekrolog: Drude Søgaard Gjersøe	personalia
429	Nekrolog: Arve Bringaker	personalia
430	Lille speil på veggen der, hvem er norskest i landet her? | Helene Skjeggestad	meninger
431	Dronning Silvia er hjemme igjen	verden
432	Regjeringen sier nei til utenlandske spillselskap	norge
433	Lite snø gir skøytebonanza	norge
434	Kina vil levere tilbake amerikansk drone	verden
435	Artisten Arnie Norse er død	kultur
436	På en søndag: La oss snakke om frihet | Per Edgar Kokkvold	meninger
437	Politi og sivile sperret inne av ras - ble reddet ut med helikopter	norge
438	Populistene er de store vinnerne i Italias folkeavstemning. Nå er de sterkere enn noensinne.	verden
439	Politiker og to journalister drept i Finland	verden
440	Brite dømt til fengsel for mislykket angrep mot Trump	verden
441	37 evakuert etter brann - kvinne (80) alvorlig skadet	norge
442	Slik skal de nye statsrådene hjelpe Erna Solberg å vinne valget	norge
443	Kurdiske foreldre fra Irak, født i Sandnes: – Skolegudstjenester handler om respekt for norsk kultur	meninger
444	Språket vårt: Forholdsmester 2016	kultur
445	Østlandet får det beste fyrverkeriværet	norge
446	Krim-bloggen: Likte du det brautende persongalleriet i «Trainspotting»? Da må du lese Lisa McInerneys irske versjon.	amagasinet
447	Økt skatt til de rike ga økt ulikhet | Haakon Riekeles	meninger
448	Dette er totalitær logikk, Tybring-Gjedde | Vebjørn Wold	meninger
449	I Europas tilfluktsrom er det ingen fremtid. Bare luftmangel. | Carsten Jensen	kultur
450	Bjørn Kjos lover å skape tusenvis av jobber i Norge, hvis han får fly over Russland på veien til Asia	okonomi
451	Verneverdige boliger er mer verd enn andre	osloby
452	Kosovoalbanske foreldre, født i Norge: - Det rareste spørsmålet jeg har fått er: «Er kosovoalbanere farlige sånn som de på Kasim Bæder?»	meninger
453	Nekrolog: Jan B. Ore	personalia
454	Jeg er en av de selvopptatte, utakknemlige ungdommene. Det gjør meg flau.	meninger
455	The Weeknd: Vakre øyeblikk, store nedturer	kultur
456	Rent og tørt	kultur
457	Vi brukte 49 mrd. kroner på julehandelen	okonomi
458	Ingenting er sikkert lenger. Derfor prøver Carl I. Hagen å erobre  klimasaken fra miljøeliten.	meninger
459	STUCK ep. 4: Secuestrada	verden
460	Lite håp for hvit jul på Østlandet i år	norge
461	Får ikke synge «Deilig er jorden» på barneskole i Stavanger	norge
462	Nordea-sjefen trøster seg med dyr laks	okonomi
463	Skilte foreldre hjelper andre i julen	norge
464	BMW tilbakekaller 200.000 biler i Kina	verden
465	Hjertesaker	kultur
466	Stjernekokk gjør knallsuksess med sildesmørbrød og grøt i hjertet av New York	kultur
467	Det er ingen som er like, derfor er ingen normale | Anders Baumberger	meninger
468	Listeria funnet i økologisk barnegrøt	norge
469	Vaktbikkja som skal passe på at staten følger menneskerettighetene, får kritikk for sterke bånd	norge
470	Språket vårt: Mitt og sine	kultur
471	«Barnepornografi»	kultur
472	Ny signalfeil på Gardermobanen	norge
473	Hevder Hussain skrøt av våpentrening med Bhatti	norge
474	Ingen budsjettavtale med KrF og Venstre fredag kveld	norge
475	Gi rusmisbrukere mat – uavhengig av om de slutter eller fortsetter med stoff | Mone Eli Sæland	meninger
476	Slik lager du det perfekte tv-dramaet	kultur
477	Nominert til Årets osloborger: Fatema Al-Musawi	osloby
478	USAs nye utenriksminister: Putin-venn og speidergutt som har jobbet 40 år i samme selskap	verden
479	Slår alarm om sikkerhetshull i nettverksruter	norge
480	President stilles for riksrett etter skandale med sektleders datter	verden
481	For og imot	kultur
482	Folk fryser	meninger
483	Flere redde hunder på avveie nyttårsaften	norge
484	Aftenposten mener: Angela Merkel må ta frykten på alvor	meninger
485	Statoil selger oljesandvirksomheten	okonomi
486	En milliard Yahoo-brukere kan være hacket	verden
487	USAs sentralbank setter opp renten	okonomi
488	–  Det kjennes som om jeg ikke passer inn	norge
489	Nekrolog: Stein Torbergsen	personalia
490	Foreldre fra India, oppvokst på Nesodden: – I Norge er minoritetsbakgrunn en ressurs	meninger
491	Innvandrerkvinne - bruk kompetansen din! | Shakila Ashraf Nabi	kronikk
492	Thailandske foreldre, oppvokst i Norge: - Jeg er så glad vi sang julesanger og spiste grøt på skolen. Det ville vi aldri gjort hjemme.	meninger
493	Julequiz 2016	kultur
494	Kristin-drapet havner i Høyesterett	norge
495	Christian Houges fotografier stiller store spørsmål i en kortsynt tid	kultur
496	Hevder Krekar-misforståelse skyldes at Norge ikke forsto Italiensk lov	norge
497	«Hotell i særklasse»-stjerne død	verden
498	Livstidsstraff etter at toåring døde i varm bil	verden
499	Sesong 3 av Skam hjalp meg ut av skapet | Jonathan Gaathaug Nielsen	meninger
500	Nesten sommervarme på Møre	norge
501	FN skal overvåke evakueringen fra Aleppo	verden
502	Her leter de etter radioaktive juletrær i Moskva. Russere advares mot å kjøpe trær med ukjent opprinnelse.	verden
503	Politihunden «Appie» døde under trening: – Man trener mye sammen og får et nært forhold	osloby
504	Diplomat om språkbruken til Israels statsminister: - Uten sidestykke	verden
505	Syv asylsøkere siktet for å ha satt fyr på hjemløs	verden
506	Ingen fred mellom Wærsted og Brekke	okonomi
507	Målet om økologisk matproduksjon ble ikke nådd. Nå fjernes det.	okonomi
508	UDI: – Er blitt mer nyanserte, ikke strengere	norge
509	Aftenposten mener: Kildekritikk må bli en nøkkelferdighet	meninger
510	Donald Trump formelt valgt til president	verden
511	Unngå disse dumme statusene på Facebook i julen. Vær så snill. | Lise Johanne H. Moen	meninger
512	Byrådet krever ekstern granskning av søppelkaoset	osloby
513	Nominert til Årets osloborger: Solveig Ude	osloby
514	Carl I. Hagen vil tilbake på Stortinget	norge
515	Sandberg: Frp ville gått ut av regjering hvis bilpakken ble rørt	norge
516	Ingvild Tennfjord: Seks juleviner er alt du trenger	amagasinet
517	To av tre er mot DAB-tvang	norge
518	Aftenposten mener: Det handler ikke bare om ulv	meninger
519	Jobbekspertene: Sagt opp - eller oppsagt?	okonomi
520	Det er et av de største fornyelsesprosjektene i Telenors historie. Nå har  hoveddelen av prestisjeprosjektet strandet.	norge
521	DNB sendte rike nordmenn til skatteparadis	okonomi
522	Her er Oslos lekreste restauranter	osloby
523	Dagens quiz	kultur
524	Lien setter inn storstilt økning i oljeaktivitet	norge
525	Fra én til fire eneboliger på samme tomt	osloby
526	Dieselbiler skal forbys i fire storbyer innen 2025	okonomi
527	Vi må ha dugnad for å redde medisinens viktigste verktøy | Bent Høie	meninger
528	Trump lover å bygge mur - og straffe selskaper som flagger ut	verden
529	Tyrkiske foreldre, oppvokst i Norge: «Du er med i Høyre og er innvandrer, hvorfor?»	meninger
530	Flyveren får skylden for flystyrt i Colombia	verden
531	Childish Gambino: Soul av den gode, gamle skolen	kultur
532	Frp om mulla Krekar: «Ciao Krekar», «Bye bye», «En skandale for regjeringen» og «En parodi».	norge
533	Nekrolog: Per Sundby	personalia
534	Kort sagt, 23. desember	meninger
535	Svensk kvinne kjørte en halvtime på felgen	norge
536	Rører amerikanerne til tårer med improvisert Ibsen	kultur
537	VG: Styret i Telenor hasteinnkalt	okonomi
538	Under streken	norge
539	Pechakucha: Dette får oss i julestemning	kultur
540	Hun pleide å grue seg til å servere Eiliv Didriksen (81). I år har hun invitert ham hjem på julaften.	amagasinet
541	Ingvild Tennfjord: Ennå ikke handlet inn julens drikke? Slapp av! Du rekker det	amagasinet
542	Svensk feminist: – Skam-William er akkurat som mange andre menn – en potensiell voldtektsmann	kultur
543	Stoltheten over lysekronen må ikke drukne i fremmedhatet | Emma Havend	meninger
544	Dyreliv i hardt vær på Svalbard	viten
545	Jeg gjeninnmelder meg i Den norske kirke. Den kristne kulturarven må bevares. | Preben Dimmen	meninger
546	«Dyrene i Hakkebakkeskogen»: - Høydepunktet er å høre Wenche Myhre i rollen som Bestemor Skogmus	kultur
547	Berlin-terroren: Dette vet vi, og dette vet vi ikke	verden
548	«Perfekte fremmede»: Slapp selskapslek	kultur
549	10 tips for nyttårshelgen	osloby
550	Derfor gjør FN-sensasjonen lille julaften Israel rasende	verden
551	Dette er det verdenskjente Røde Arme-koret. Nå er 64 av medlemmene trolig døde.	kultur
552	Jul med sin lede	kultur
553	Status Quo-gitarist Rick Parfitt er død	verden
554	Aftenposten mener: For optimistisk om biodrivstoff	meninger
555	Savnet kvinne funnet omkommet på Osterøy	norge
556	Problemer med innsjekkingen på Gardermoen torsdag morgen	norge
557	Stor uenighet om strafferammen: Påstand om ti års fengsel for Ubaydullah Hussain	meninger
558	– Vi har en sønn som ikke er her	norge
559	Fortsatt betydelig snøskredfare på Svalbard	norge
560	Putin: - Enighet om våpenhvile i Syria	verden
561	MDG-Hansson: Hatten av for Venstre og KrF	norge
562	Ubaydullah Hussain opererte nesten som Tjæreborg-presten	meninger
563	Heggelia i Nordmarka er solgt for over 18 millioner	osloby
564	Kort sagt 30. desember	meninger
565	Opphetet boligmarked hindrer nytt rentekutt	okonomi
566	Julequiz 2016	kultur
567	Har du først satt tennene i en brioche, skjønner du hvorfor den er verd all jobbingen	amagasinet
568	Kvinne kjørt til sykehus etter brann i Kristiansand	norge
569	Det er 45 år siden den første e-posten ble sendt. Er det på tide at vi sender den siste?	amagasinet
570	Dette skal hindre deg i å sovne bak rattet	kultur
571	10 tips for helgen	byliv
572	Donald Trump går ut mot F-35-programmet	verden
573	Gunn Wærsted krøp til korset | Ola Storeng	meninger
574	Ufrivillig barnløshet er en hjerteskjærende berg-og-dal-bane | Christel Taranger Freberg	kronikk
575	Forfulgte kunstnere nektes midlertidig opphold - nettopp fordi de er forfulgt	meninger
576	Russland kutter forsvarsbudsjettet med 100 mrd. - vil dempe konflikten med Vesten	verden
577	Nekrolog: Sigurd Syversen	personalia
578	PechaKucha: - Hver dag dør 6000 nyfødte barn i verden. Disse kan reddes med enkle midler.	osloby
579	Aftenposten mener: Enigheten i Telenors styre gjør det ikke lettere å se hva ansvar betyr i selskapet	meninger
580	Oslo Fagottkor har solgt 10 000 julekonsertbilletter	kultur
581	Vraker Oslo og velger Stockholm for ny langrute	okonomi
582	Her er våre seriefavoritter for 2016	kultur
583	Du trenger ikke kjøpe mer mat enn du spiser i julen! | Kristina Othille Hetland Schennum	meninger
584	Skuespilleren Zsa Zsa Gabor er død	kultur
585	Dagens quiz	kultur
586	Dagens quiz	kultur
587	Aftenpostens nyttårskonsert med KORK og toppsolister	osloby
588	Helsesøster Solveig Ude er Årets osloborger 2016	osloby
589	Spørsmålet: Hvilke innlegg ble mest lest i 2016? Svaret: Slå ring om emokratiet! | Thorgeir Kolshus	kronikk
590	Trodde Anne Frank ble angitt til nazistene. Nå er en ny forklaring dukket opp.	verden
591	Det er ikke muslimske foreldre som står bak julebråket | Andreas Slettholm	meninger
592	Kalvø: Velkommen til regjeringas julebord	amagasinet
593	Russiske myndigheter:  Syria stanser Aleppo-angrepene for å la sivile evakuere	verden
594	Taliban inviterer journalister til sjeldent møte	verden
595	DN: Telenors styreleder Wærsted overkjørt av eget styre	okonomi
596	Kristian Gundersen i Uviten: Medikamentfri psykiatri - eksperiment uten forskning	viten
597	Ni av de største brølerne i 2016	verden
598	Geværmannen i #pizzagate snakker ut: - Jeg ville bare gjøre en god gjerning	verden
599	Kurdiske foreldre, oppvokst i Norge: – Det er flaut når folk er for forsiktige	meninger
600	Bransjen lover å kutte sukker, salt og fett i maten	norge
601	Pipebrann på Stortorvets Gjæstgiveri	osloby
602	Boligprisene fortsetter veksten i november	norge
603	Krise i EØS-samarbeidet: Island blokkerer ny sjef for milliardfond	verden
604	Leter fortsatt etter kvinne (70) etter trafikkuhell i Hordaland	norge
605	Mistenkt IS-tilhenger med Kalasjnikov pågrepet i Rotterdam	verden
606	Støtte til lovbrudd? | Øystein Trevland	meninger
607	Obama beordrer full gransking av hackerangrep i valgkampen	verden
608	Styret vurderte å sparke Telenor-sjefen, men snudde da advokater frikjente ham	okonomi
609	Politikilder: Polsk lastebilsjåfør skutt timer før Berlin-angrep	verden
610	Indias utenriksminister raser mot Norge i barnevernskrangel	verden
611	Skobutikken Muhamad Koja jobbet i, ligger i ruiner i Aleppo. Nå har familien et nytt liv med skiturer i Drammen.	norge
612	Aftenposten mener: Kjønnsnøytral verneplikt må videreutvikles	meninger
613	Trump gleder seg over julebrev fra Putin: – Hans tanker er så riktige	verden
614	Trump og Putin pusser opp atomvåpnene og venter på fornuften	verden
615	Nekrolog: Vibeke Knudsen	personalia
616	– I snitt har 14 mennesker dødd hver dag i Middelhavet i år	verden
617	«Why Him?» Litt morsom, mest umorsom	kultur
618	Russland: Kampen om Aleppo er over	verden
619	Politiet måtte be siste-liten-handlere roe seg ned	osloby
620	De fleste i vest har fått strømmen tilbake	norge
621	Tsunamivarsel avblåst etter jordskjelv i Sør-Chile	verden
622	Slik blir jul og nyttår bra for dyrene	osloby
623	VG-måling: Tilliten til Solberg stuper etter budsjettbråket	norge
624	Her er filmene som får julestemningen til å holde gjennom romjulen	kultur
625	Varsler økt privatisering i Forsvaret	norge
626	Oslo før: Trange leiligheter var svaret på 1800-tallets boligmangel	osloby
627	Siv Jensen gir Carl I. Hagen klar beskjed om klima	norge
628	Evakueringen fra Øst-Aleppo stanset - tusenvis fremdeles innesperret	verden
629	Hvor gamle kan vi egentlig bli?	amagasinet
630	Synne får familien til å spare strøm	norge
631	GlasMagasinet bytter innhold - ut med norske glass og fat, inn med dansk design	osloby
632	Her var det sommer i morges	norge
633	De nye alliansene i Syria: Nå bomber russerne for å hjelpe tyrkerne	verden
634	Ringte selv politiet etter drap i Elverum  - gamle kjenninger	norge
635	Russland vil styrke Serbias forsvar	verden
636	Europa må skjerpe terrorsikkerheten, mener israelske eksperter. Et slikt samfunn ønsker vi ikke, svarer norsk forsker.	verden
637	Putin: – Vi skal finne de som styrte morderens hånd	verden
638	Si ;D-juryen burde premiert tekster som ikke avskriver norske verdier som  uviktige | Kristen Lindholm	meninger
639	Dronning Silvia blir på sykehus over natten	verden
640	Over 2600 har mistet livet i ulykker med Tupolev Tu-154	verden
641	To skadet i trafikkulykke i Kristiansand	norge
642	Riksadvokaten hudfletter politiets statistikker som mangelfulle, lite relevante og unødvendig kompliserte	norge
643	Gjennombrudd for zika-forskning:  Skriver ut «minihjerner» i 3D	viten
644	Christine Koht: Adventslunsj med gravemaskinfører Vidar	amagasinet
645	Husk Cava i juletrefoten, så holder treet seg glitrende julen gjennom	meninger
646	NHO om kommunesammenslåingene: - Pinglete av Regjeringen	norge
647	Avtale skal sikre gjenopptakelse av Aleppo-evakuering	verden
648	Frode Thuen svarer deg: Slik slipper du unnskyldninger	norge
649	Guide til byens julemarked	byliv
650	Dagens quiz	kultur
651	Kortfilm: 1994	kultur
652	Krigshauken Kissinger på Nobel. Bare skryt, ingen debatt. Så utrolig feigt. Så utrolig pinlig. | Erling Borgen	meninger
653	Stem på Årets osloborger	osloby
654	Hvorfor er stortingspolitikerne tause om den brutale asylpolitikken? | Marit Skjeggestad	meninger
655	Trump overrasket med å snakke med Taiwans president	verden
656	Aftenposten mener: Putin bør lykkes med sine reformer	meninger
657	Farget belysning og oppblåste nisser? Nora minner om de uskrevne reglene for julepynting	meninger
658	PechaKucha: Kan gener avgjøre hvor påvirkelige vi er?	norge
659	To bekreftet omkommet i bilulykke på E6	norge
660	Ingvild Tennfjord: Med disse triksene blir du det perfekte vertskap	amagasinet
661	De borgerlige velgerne fortjener bedre | Trine Eilertsen	meninger
662	Den store romjulsguiden	byliv
663	Erna Solberg presenterte tre nye statsråder på Slottsplassen	norge
664	Politiet og forsvarer: Voldsfilmer utløsende for Maxbo-drapet	norge
665	Abid Raja (V) lovet 20 prosent rabatt på månedskort i storbyene. Men regnestykket går ikke opp.	osloby
666	«Drap og voldtekt tillatt på russisk realityshow», skrev Aftenposten og andre medier. Men det var nok ikke sant.	kultur
667	Evakueringen av Øst-Aleppo utsatt igjen	verden
668	NTB og TV2: Frp skifter statsråder	norge
669	13 års fengsel for innførsel av 100 kilo amfetamin	osloby
670	Nekrolog: Per Møller	personalia
671	Bøhler vil stanse Airbnb-utleie i Oslo	osloby
672	Unge menn skadet i ulykke i Oslo - meide ned skiltbro ved rundkjøring	osloby
673	Trump og Putin varsler atomopprustning	verden
674	Rekordmange klager på helsevesenet, ventetiden øker kraftig, men erstatningene er større enn noen gang	norge
675	Frode Thuen: De har delt omsorg, hun føler hun lever et halvt liv	amagasinet
676	Skyting utenfor USAs ambassade i Tyrkia	verden
677	Kronikk: Er det betre å skrive dårleg nynorsk enn godt bokmål? Anelin Strømholm	meninger
678	Naturvernforbundet kaster seg inn i kampen mot Melgaard-hus på Ekely	kultur
679	Medietilsynet jukser med tall | Peter Alling	meninger
680	«Rogue One: A Star Wars Story»: En puslespillbrikke av gull	kultur
681	Politiet: - Drept med flere knivstikk	norge
682	Fraværet ned 46 prosent på Finnmark-skole etter nye regler	norge
683	Mot rekordår for norsk film	kultur
684	Telenor-styret vil forsvare sine egne beslutninger og lar derfor Brekke sitte | Karin S. Thorburn	meninger
685	"""Et dukkehjem"""	norge
686	Dansk politimann skutt i København - døde	verden
687	Rema mener norske butikker er for like	okonomi
688	Takk, Norge, for håpet om fred. Jeg håper dere fortsetter å vise raushet overfor dem som i dag flykter | Ana Barragan Lid	meninger
689	Aftenposten mener: Statoils dyrekjøpte erfaringer i Canada	meninger
690	Julequiz 2016	kultur
691	Kina truer med å hjelpe USAs fiender militært og «en ekte storm» i Taiwan-stredet	verden
692	Aftenposten mener: Havnearbeidernes tap kan mobilisere EØS-motstanden	meninger
693	Aftenposten mener: Høstens søppelkaos kan ikke fortsette	meninger
694	Her er vinnerne av julequizen 2016	kultur
695	Srilankiske foreldre. Født i Norge: – Noen ser meg bare som Sri Lanka, ikke meg selv	meninger
696	Oxford-professor: – Aldri før har det vært så store risikoer ved å ytre seg	kultur
697	Popsenteret sliter med økonomien	osloby
698	Spansk skinkeskvis skaper frustrasjon til jul	okonomi
699	Tsunamivarsel etter jordskjelv på styrke 7,7 ved Salomonøyene	verden
700	Demokratene-politiker etterforskes for hatkriminalitet etter Facebook-innlegg	norge
701	Kvinne i 20-årene påført alvorlige skader av ukjent gjerningsmann	norge
702	Restaurantanmeldelsen: Skuffende og dyrt på Pinerolo	osloby
703	Jens M. Johansson: – Jeg ville gjerne bli forfatter da jeg var ung. Men jeg hadde ikke motet.	kultur
704	Dagfinn Myklebust er heldig. Han har godt skiføre.	amagasinet
705	Blaafarveverket etterlyset kunstverk	kultur
706	Valget i Østerrike: Uavhengige Van der Bellen vant igjen	verden
707	Lillebroren oppfyller Fidel Castros siste ønske	verden
708	Taxisjåfør fratatt førerkortet etter 1100 Uber-oppdrag. Politiet har slått til mot minst 70 Uber-sjåfører.	norge
709	Svekket returpraksis rammer dem som trenger asyl | Fabian Stang	meninger
710	Musikkbransjen sørger over tapet av George Michael	kultur
711	Dronning Elizabeth syk - dropper kirken, men kan se seg selv på TV	verden
712	Kom deg avgårde på juleferie før uværet stopper deg	norge
713	Pave Frans ber Assad vise nåde	verden
714	I noen deler av verden er han stor stjerne. I Lofoten surfer Mick Fanning nesten uforstyrret.	amagasinet
715	Serieskolen: 10 nye TV-serier du kan strømme	kultur
716	Advarer mot såpeglatte veier i åtte fylker	norge
717	Uteksaminert	kultur
718	Aftenposten felt i PFU	norge
719	Rasmus Hanssons bullshitfilter på kjøkkenet	amagasinet
720	Filmen rullet over PC-skjermen mens sjåføren rullet på veien	norge
721	Politiet om dobbeltdrapet: Vi har DNA-spor som knytter siktede til handlingen	norge
722	Filmfestivalene frykter kutt	kultur
723	Mann (78) funnet død i en kum ved riksvei i Gjemnes	norge
724	Nå blir du bedt om å oppgi Facebook-kontoen din før innreise til USA	verden
725	Full ordkrig mellom USA og Israel	verden
726	Frps stortingsgruppe stemmer mot egen regjerings DAB-forslag	norge
727	Dette krever sjakk-toppene om det skal bli VM i Oslo	osloby
728	Aftenposten mener: Tvil skal komme asylsøkere til gode	meninger
729	Over 43.000 fordrevet etter jordskjelv i Indonesia	verden
730	Putin takker nei til Japans diplomatiske hundegave	verden
731	Mann døde i leilighetsbrann i Oslo	norge
732	Krangler om hvordan byråkratene skal sitte i det nye regjeringskvartalet	osloby
733	Dette er gruppene som kommer til å prege Nav-statistikken i fremtiden	okonomi
734	Flyselskap mister lisensen etter styrt i Colombia	verden
735	Tenk om alle inviterte én person ekstra til julaftenen sin, en som ikke har noen andre å feire med! | Tegnehanne	meninger
736	Under streken	norge
737	Etter 2015 skulle man tro det bare kunne gå oppover for Telenor. Slik er det ikke blitt. | Einar Lie	meninger
738	Norge fikk 43.000 flere innbyggere i år	norge
739	Strengere boliglånskrav i Oslo	osloby
740	Staten sterkt kritisk til tingrettens Breivik-dom	norge
741	Tyrkia anklager Gülen for ambassadør-attentat	verden
742	Juanes sørger for rekordstort presseoppbud til Nobelkonserten	byliv
743	«Jubeluke» med testresultater, men disse tallene bekymrer Skole-Norge	norge
744	Derfor vant ikke høyrepopulisten denne gangen	nyhetsanalyse
745	Børsnedgang i Asia ned etter Renzis avgang	verden
746	Ny studie: Elever lærer bedre hvis forholdet til læreren er godt	osloby
747	Nilsen spiseri: - Vi fortjener en ny sjanse	osloby
748	TV2: Dobbeltdrapssiktet 15-åring sa han hadde planlagt drap	norge
749	2011: «Jeg frykter for at et nytt korstog blir nødvendig» I dag: Ny justisminister	norge
750	Minst 160 omkom da kirke i Nigeria kollapset	verden
751	Fått bot i utlandet og kastet den i søpla? Denne mannen finner deg	okonomi
752	Når får Oslo sin Willy Brandts gate?	osloby
753	Norgesgruppen: Vi har halvparten så mange leverandører	okonomi
754	Brannvesenet advarer: Kjøkkenet er blitt husets farligste rom	osloby
755	De private frir til Groruddalens forsmådde | Andreas Slettholm	meninger
756	Bedre skole gir mindre sosiale forskjeller | Mathilde Fasting	meninger
757	Nå har den første private barnehagen fått nei fra byrådet	osloby
758	Finansavisen: Brekke til PR-krig mot Wærsted	okonomi
759	Politiet: Serieovergriperen fikk barn til å skrive under på at de var over seksuell lavalder	norge
760	Are Kalvø: 2017 oppsummert	amagasinet
761	Flere hundre kan miste norsk statsborgerskap	norge
762	Hvorfor nevnes ikke «Sons of Anarchy» i samme åndedrag som de andre serieklassikerne?	amagasinet
763	Hva med et livssynsnøytralt juleoratorium? | Sigurd Slåttebrekk	meninger
764	Slutt å dubbe skandinaviske programmer | Espen Stedje	meninger
765	Mens Beijing og Vatikanet søker å løse en 67 år gammel strid, ble en opprørsk katolsk biskop bortført i adventstiden	verden
766	Øst-Aleppo evakueres, men noen barn kommer helt alene	verden
767	Gutt (14): Hvem gjør alt for meg? Mamma.	meninger
768	Planlagt evakuering av Øst-Aleppo forstyrret av nye kamper og luftangrep	verden
769	Medierevisjonen: Med TV og aviser som megafon i debatten om alderstesting | Nina Hjerpset-Østlie	meninger
770	Lars Vilks betaler prisen for kunsten	amagasinet
771	Nekrolog: Finn Corneliussen	personalia
772	Politiet hentet Stefan om natten. 79 år senere avslørte oldebarnet alle de 20 som sto bak det politiske drapet i Sibir.	verden
773	Norskog trekker seg fra rovviltutvalg i protest	norge
774	Juleevangeliet flytter ubehagelige realiteter inn i varme, norske julestuer | Helga H. Byfuglien	kronikk
775	Valkyrien: Uforutsigbart fra undergrunnen	kultur
776	Finsk politisjef dømt - hadde 600.000 nedgravd i hagen og eide åtte biler	norge
777	1300 osloborgere i gruppesøksmål om eiendomsskatt	osloby
778	Hvorfor godkjente du Per-Willy Amundsen som justisminister, Erna Solberg? | Barker | Emnetu | Heltberg | Johnsen | Shumba	meninger
779	Derfor er Assad overbevist om at han vil vinne i Aleppo	verden
780	Ny podkast-serie fra 15. desember: Skuddet på Toftøy	amagasinet
781	Nominert til Årets osloborger: Runar Skjerven Eggesvik	osloby
782	Høyre-politiker kraftig ut mot Høyre-statsråds julehilsen	norge
783	Under streken	norge
784	Drosjenæringen er ikke verneverdig…	meninger
785	Slik imponerer du med reinsdyrkjøtt i jula	norge
786	Julequiz 2016	kultur
787	Kronikk: Karrièreusikkerhet tærer på unge forskere	kronikk
788	FN: 187 milliarder kroner trengs til nødhjelp i 2017	verden
789	Restaurantanmeldelsen: Noen fliser i Fjøla	osloby
790	Neste stopp Mars	amagasinet
791	Skal det være en norsk åkerburger med havre og quinoa?	viten
792	Eiendomsskatt: Anklager byrådet for løftebrudd	osloby
793	EU holder pusten før folkeavstemningen i Italia	meninger
794	Passasjerer skremt av brems og mørklagt kabin på Norwegian-avgang	okonomi
795	Nekrolog: Tor Harald Vintervoll	personalia
796	Egeland om Aleppo: - Det ser bekmørkt ut	verden
797	Homofile i Kina gifter seg for å skjule sin legning	verden
798	Politiet rykket ut til slagsmål på Oslo-skole	osloby
799	Sjåfør var for full til å blåse i alkometeret	norge
800	Over 1600 pågrepet i Tyrkia	verden
801	Slik er juleinnspurten for åtte mennesker i Oslos gater	amagasinet
802	Her er bøkene vi trygt anbefaler som julegave	kultur
803	Jeg var «gulljenta» i familien, men valgte å bryte ut. Jeg ville ikke lenger leve under lydløs, sosial kontroll.	meninger
804	Gi barna en tegneserie før skoletrøttheten tar dem | Helene Skjeggestad	meninger
805	– Jeg kan ikke komme på en innsettelse som har bydd på større sikkerhetsutfordringer	verden
806	Mæland: – Telenor er i en vanskelig situasjon	okonomi
807	Nekrolog: Anne Rustad	personalia
808	Sikkerhetsrådet vedtok Syria-resolusjon	verden
809	Ny Netflix-serie: Yrke: kidnapper	kultur
810	EgyptAir-styrten: Sprengstoffspor funnet på omkomne	verden
811	Massepågripelse etter terrorangrep i Tyrkia: 568 pågrepet i 28 byer	verden
812	Italia avviser reformer i folkeavstemning - Renzi trekker seg	verden
813	Snøscooterkjører funnet skadet i Finnmark	verden
814	Påtalemyndigheten frafaller siktelsen mot Trude Drevland	norge
815	En person funnet død etter brann på Nesodden - kvinne livstruende skadet	norge
816	Prest var med i islamfiendtlige Facebook-grupper	norge
817	Politiet ruller opp litauisk BMW-liga	norge
818	Truer med å stenge kebabsjapper som holder åpent om natten	osloby
819	Det er ikke så vanskelig å kjøpe en brukt, men helt fin genser til jul | Maria Maistry Østrem (17)	meninger
820	Ingunn Økland: Knausgård er best når han dikter	kultur
821	USA og Kina: 70 år med turbulens på 90 sekunder	verden
822	Julequiz 2016	kultur
823	Minst 25 drept i eksplosjon i Kairos koptiske katedral	verden
824	Lyset ser du lettest når det er mørkest under vinterhimmelen	amagasinet
825	Sendt ut selv om retten fastslo at han er et barn: «Vi er utrygge her i Kabul og redde for å gå ut»	norge
826	30.000 strømløse etter Urd-herjinger	norge
827	Dirk Gentlys dørgende kjedelige detektiveventyr	kultur
828	Priskrigen om julevarene er i gang	okonomi
829	– Syrias opposisjon sier uforbeholdent ja til fredssamtaler	verden
830	Sørkoreansk avhopper hevder de lurte Nobelkomiteen	norge
831	Regjeringens CO2-prosjekter får rødt lys av konsulenter	norge
832	Krim-bloggen: Disse bøkene bør havne under treet i år	amagasinet
833	- Jeg går og samler på dårlige opplevelser	norge
834	– Kunsten er den nye oljen og vi må se hvordan vi kan tjene mer penger på kultur	kultur
835	14 døde i oversvømmelser i Thailand	verden
836	Ras, stengte veier, stengt jernbane og nedbørsrekorder i Trøndelag	norge
837	Hva skal til for å skape store idrettsprestasjoner? | Iver  Mysterud	meninger
838	Babyens mor: Du må slutte å være hardhendt. Faren: Det bare ser slik ut	norge
839	Colombia-fredsavtalen hylles som den nye gullstandarden	verden
840	Misliker Listhaugs retorikk så sterkt at han meldte seg ut av Venstre:	norge
